date,open,high,low,close,volume,marketCap
2017-06-10,50.04,59.6,42.61,54.04,3783760,326419000
2017-06-09,41.33,50.4,41.25,49.97,2787430,268196000
2017-06-08,36.18,41.43,35.42,41.43,2176920,233903000
2017-06-07,38,38.39,35.2,35.93,3101570,245393000
2017-06-06,32.24,39.78,32.24,37.99,2430580,207988000
2017-06-05,25.55,32.86,25.55,32.14,2170880,164708000
2017-06-04,25.53,25.8,24.94,25.55,1719260,164484000
2017-06-03,24.03,25.66,23.84,25.59,2741120,154747000
2017-06-02,22.19,24.19,21.99,24.19,1512120,142856000
2017-06-01,18.93,22.95,18.93,22.18,2466910,121713000
2017-05-31,17,18.97,17,18.9,1228390,109246000
2017-05-30,17.22,17.79,16.59,16.92,801777,110582000
2017-05-29,15.96,17.51,15.54,17.2,825630,102399000
2017-05-28,14.86,16.68,14.71,15.99,405591,95355900
2017-05-27,15.31,16.36,13.47,14.63,551952,98179600
2017-05-26,15.56,17.57,14.07,15.26,591390,99749800
2017-05-25,13.57,23.37,11.98,15.67,6153930,86953600
2017-05-24,13.21,14.35,13.12,13.6,1025590,84554600
2017-05-23,12.26,13.34,12.22,13.19,662390,78464700
2017-05-22,12.6,13.32,11.75,12.28,834180,80620000
2017-05-21,12.34,12.93,12.2,12.52,545026,78880200
2017-05-20,11.23,12.38,11.23,12.35,653438,71772600
2017-05-19,10.73,11.37,10.72,11.22,670821,68513600
2017-05-18,10.04,10.87,10.02,10.72,819691,64102400
2017-05-17,9.8,10.35,9.61,10.11,783389,62539500
2017-05-16,9.2,10.08,8.95,9.81,765059,58670700
2017-05-15,8.95,9.26,8.51,9.1,496905,57036400
2017-05-14,8.49,8.88,8.15,8.79,397657,54087400
2017-05-13,7.39,8.45,7.03,8.45,480450,47075500
2017-05-12,7.71,8.04,7.29,7.41,448407,49032700
2017-05-11,7.71,8.03,7.17,7.7,407025,49044900
2017-05-10,7.93,8.01,7.3,7.69,499177,50406400
2017-05-09,8.02,8.33,7.61,7.93,704454,50921800
2017-05-08,7.95,8.3,7.62,8.01,808585,50377900
2017-05-07,8.22,8.39,7.48,7.95,266678,51681300
2017-05-06,5.84,8.42,5.65,8.22,875112,36310900
2017-05-05,6.99,7.27,5.78,5.78,566343,43198800
2017-05-04,7.55,7.71,6.65,7,556024,46609100
2017-05-03,7.89,8,7.58,7.61,716542,48652600
2017-05-02,7.96,9,7.69,7.88,578471,49072400
2017-05-01,8.89,9.22,8.19,8.19,483599,54709600
2017-04-30,8.95,9.02,8.74,8.88,391218,55090300
2017-04-29,9.15,9.15,8.91,8.97,557753,56271900
2017-04-28,8.45,9.17,8.45,9.14,433870,51889500
2017-04-27,8.01,9.62,6.86,8.45,715582,49191200
2017-04-26,9.25,9.35,7.92,8.01,862259,56757800
2017-04-25,9.77,9.99,9.14,9.25,615853,59895000
2017-04-24,9.77,9.97,9.63,9.78,581280,59861300
2017-04-23,10.07,10.07,9.64,9.74,294309,61638000
2017-04-22,9.87,10.16,9.78,10.07,442488,60365000
2017-04-21,10.06,10.08,9.5,9.87,474630,61440400
2017-04-20,10.19,10.39,9.7,10.05,388381,62223000
2017-04-19,9.89,10.66,9.89,10.18,495149,60314300
2017-04-18,8.74,10.38,8.74,9.74,1048750,53297500
2017-04-17,9.7,9.78,7.6,8.74,801362,59082700
2017-04-16,10.78,10.84,8.5,9.7,737619,65626200
2017-04-15,9.8,11.45,9.08,10.8,1077470,58750800
2017-04-14,12.05,12.69,8.27,9.69,201720,72172000
2017-04-13,10.62,17.63,10.62,11.95,1951160,63522800
